"Model","Scenario","Region","Item","Variable","Year","Unit","Value"
"GLOBIOM","BASE","BGR","FOR","AREA",2040,"1000 ha",3911.834875
"GLOBIOM","BASE","BGR","FOR","AREA",2050,"1000 ha",3940.64
"GLOBIOM","BASE","CYP","FOR","AREA",2000,"1000 ha",172.5
"GLOBIOM","BASE","CYP","FOR","AREA",2010,"1000 ha",172.5
"GLOBIOM","BASE","CYP","FOR","AREA",2020,"1000 ha",172.5
"GLOBIOM","BASE","CYP","FOR","AREA",2030,"1000 ha",172.5
"GLOBIOM","BASE","CYP","FOR","AREA",2040,"1000 ha",172.5
"GLOBIOM","BASE","CYP","FOR","AREA",2050,"1000 ha",172.5
"GLOBIOM","BASE","CZE","FOR","AREA",2000,"1000 ha",2637.5
"GLOBIOM","BASE","CZE","FOR","AREA",2010,"1000 ha",2657.4999238
"GLOBIOM","BASE","CZE","FOR","AREA",2020,"1000 ha",2679.3382578
"GLOBIOM","BASE","CZE","FOR","AREA",2030,"1000 ha",2699.3340078
"GLOBIOM","BASE","CZE","FOR","AREA",2040,"1000 ha",2720.1340078
"GLOBIOM","BASE","CZE","FOR","AREA",2050,"1000 ha",2742.6187578
"GLOBIOM","BASE","DEU","FOR","AREA",2000,"1000 ha",11064.833
"GLOBIOM","BASE","DEU","FOR","AREA",2010,"1000 ha",11064.844168
"GLOBIOM","BASE","DEU","FOR","AREA",2020,"1000 ha",11092.8340391
"GLOBIOM","BASE","DEU","FOR","AREA",2030,"1000 ha",11193.4240391
"GLOBIOM","BASE","DEU","FOR","AREA",2040,"1000 ha",11299.3940391
"GLOBIOM","BASE","DEU","FOR","AREA",2050,"1000 ha",11387.4430391
"GLOBIOM","BASE","DNK","FOR","AREA",2000,"1000 ha",485.567
"GLOBIOM","BASE","DNK","FOR","AREA",2010,"1000 ha",545.6014297
"GLOBIOM","BASE","DNK","FOR","AREA",2020,"1000 ha",605.8722188
"GLOBIOM","BASE","DNK","FOR","AREA",2030,"1000 ha",620.79412505
"GLOBIOM","BASE","DNK","FOR","AREA",2040,"1000 ha",644.41439065
"GLOBIOM","BASE","DNK","FOR","AREA",2050,"1000 ha",669.65993755
"GLOBIOM","BASE","ESP","FOR","AREA",2000,"1000 ha",16436.033
"GLOBIOM","BASE","ESP","FOR","AREA",2010,"1000 ha",16436.033
"GLOBIOM","BASE","ESP","FOR","AREA",2020,"1000 ha",16436.033
"GLOBIOM","BASE","ESP","FOR","AREA",2030,"1000 ha",16501.089
"GLOBIOM","BASE","ESP","FOR","AREA",2040,"1000 ha",16501.089
"GLOBIOM","BASE","ESP","FOR","AREA",2050,"1000 ha",16528.192
"GLOBIOM","BASE","EST","FOR","AREA",2000,"1000 ha",2243.067
"GLOBIOM","BASE","EST","FOR","AREA",2010,"1000 ha",2243.067
"GLOBIOM","BASE","EST","FOR","AREA",2020,"1000 ha",2243.067
"GLOBIOM","BASE","EST","FOR","AREA",2030,"1000 ha",2243.697125
"GLOBIOM","BASE","EST","FOR","AREA",2040,"1000 ha",2245.783125
"GLOBIOM","BASE","EST","FOR","AREA",2050,"1000 ha",2254.9436875
"GLOBIOM","BASE","FIN","FOR","AREA",2000,"1000 ha",22467.3
"GLOBIOM","BASE","FIN","FOR","AREA",2010,"1000 ha",22467.3
"GLOBIOM","BASE","FIN","FOR","AREA",2020,"1000 ha",22467.3
"GLOBIOM","BASE","FIN","FOR","AREA",2030,"1000 ha",22467.3
"GLOBIOM","BASE","FIN","FOR","AREA",2040,"1000 ha",22467.3
"GLOBIOM","BASE","FIN","FOR","AREA",2050,"1000 ha",22467.3
"GLOBIOM","BASE","FRA","FOR","AREA",2000,"1000 ha",15337.433
"GLOBIOM","BASE","FRA","FOR","AREA",2010,"1000 ha",15937.0673125
"GLOBIOM","BASE","FRA","FOR","AREA",2020,"1000 ha",16580.998625
"GLOBIOM","BASE","FRA","FOR","AREA",2030,"1000 ha",17604.757625
"GLOBIOM","BASE","FRA","FOR","AREA",2040,"1000 ha",17674.106125
"GLOBIOM","BASE","FRA","FOR","AREA",2050,"1000 ha",18112.385125
"GLOBIOM","BASE","GRC","FOR","AREA",2000,"1000 ha",4620.38
"GLOBIOM","BASE","GRC","FOR","AREA",2010,"1000 ha",4685.8204141
"GLOBIOM","BASE","GRC","FOR","AREA",2020,"1000 ha",4689.9522891
"GLOBIOM","BASE","GRC","FOR","AREA",2030,"1000 ha",4703.5419141
"GLOBIOM","BASE","GRC","FOR","AREA",2040,"1000 ha",4732.1406641
"GLOBIOM","BASE","GRC","FOR","AREA",2050,"1000 ha",4755.6680391
"GLOBIOM","BASE","HRV","FOR","AREA",2000,"1000 ha",2128.967
"GLOBIOM","BASE","HRV","FOR","AREA",2010,"1000 ha",2161.8257656
"GLOBIOM","BASE","HRV","FOR","AREA",2020,"1000 ha",2229.3803281
"GLOBIOM","BASE","HRV","FOR","AREA",2030,"1000 ha",2229.3803281
"GLOBIOM","BASE","HRV","FOR","AREA",2040,"1000 ha",2229.3803281
"GLOBIOM","BASE","HRV","FOR","AREA",2050,"1000 ha",2229.3803281
"GLOBIOM","BASE","HUN","FOR","AREA",2000,"1000 ha",1908.067
"GLOBIOM","BASE","HUN","FOR","AREA",2010,"1000 ha",2028.8835625
"GLOBIOM","BASE","HUN","FOR","AREA",2020,"1000 ha",2123.1977188
"GLOBIOM","BASE","HUN","FOR","AREA",2030,"1000 ha",2151.2522813
"GLOBIOM","BASE","HUN","FOR","AREA",2040,"1000 ha",2151.9869688
"GLOBIOM","BASE","HUN","FOR","AREA",2050,"1000 ha",2167.6563438
"GLOBIOM","BASE","IRL","FOR","AREA",2000,"1000 ha",607.4
"GLOBIOM","BASE","IRL","FOR","AREA",2010,"1000 ha",707.5878203
"GLOBIOM","BASE","IRL","FOR","AREA",2020,"1000 ha",802.9548594
"GLOBIOM","BASE","IRL","FOR","AREA",2030,"1000 ha",855.55520315
"GLOBIOM","BASE","IRL","FOR","AREA",2040,"1000 ha",928.74776565
"GLOBIOM","BASE","IRL","FOR","AREA",2050,"1000 ha",1004.4731094
"GLOBIOM","BASE","ITA","FOR","AREA",2000,"1000 ha",9447
"GLOBIOM","BASE","ITA","FOR","AREA",2010,"1000 ha",10229.6079375
"GLOBIOM","BASE","ITA","FOR","AREA",2020,"1000 ha",10668.203375
"GLOBIOM","BASE","ITA","FOR","AREA",2030,"1000 ha",11560.717375
"GLOBIOM","BASE","ITA","FOR","AREA",2040,"1000 ha",11560.717375
"GLOBIOM","BASE","ITA","FOR","AREA",2050,"1000 ha",11560.717375
"GLOBIOM","BASE","LTU","FOR","AREA",2000,"1000 ha",2022.767
"GLOBIOM","BASE","LTU","FOR","AREA",2010,"1000 ha",2162.767
"GLOBIOM","BASE","LTU","FOR","AREA",2020,"1000 ha",2306.632375
"GLOBIOM","BASE","LTU","FOR","AREA",2030,"1000 ha",2360.139625
"GLOBIOM","BASE","LTU","FOR","AREA",2040,"1000 ha",2368.3778125
"GLOBIOM","BASE","LTU","FOR","AREA",2050,"1000 ha",2411.8786875
"GLOBIOM","BASE","LUX","FOR","AREA",2000,"1000 ha",86.8
"GLOBIOM","BASE","LUX","FOR","AREA",2010,"1000 ha",91.394147
"GLOBIOM","BASE","LUX","FOR","AREA",2020,"1000 ha",96.0219375
